VEN,NAME
VEN197,Ven Harispaththuwe Managala Thero
VEN198,Ven Madakumbure Somananda Thero
VEN199,Ven Alawathugama Pgnasiri Thero
VEN200,Ven Thalalle Chandkitthi Thero
VEN201,Ven Wathurakumbure Dammarathana Thero
VEN202,Ven Madahapola Anuruddhagamage Thero
VEN203,Ven Thamaraduwe Padama jothi Thero
VEN204,Ven Widhanegama Ananda Thero
VEN205,Ven Dalugama SamithaGnana Thero
VEN206,Ven Meepagama Sangarathana Thero
VEN207,Ven Naranpanawe Srisumanathissa Thero
VEN208,Ven Athanagoda Rewatha Thero
VEN209,Hela Wedha Asapuwa
VEN210,Ven Buthpitiye Samitha Thero
VEN211,Ven Wilwala Nandarama Thero
VEN212,Sasala Danawa
VEN213,Ven Mahawave Saranathissa Thero
VEN214,Ven Watagedhara Wilmalabuddhi Thero
VEN215,Ven Walpola Anomadassi Thero
VEN216,Ven Mahawave Ghanaloka Thero
VEN217,Ven Pahala Arawala Uparathana
VEN218,Ven Ranawa Dammakiththi Thero
VEN219,Ven Galle Ganabhasha Thero
VEN220,Ven Vilachchiye Pganaloka Thero
VEN221,Ven Kumaraeliye Sugathananda Thero
VEN222,Ven Walpola Gunarathana Thero
VEN223,Ven Gampaha Nandarathana Thero
VEN224,Ven Kethsirigama Sangananda Thero
VEN225,Ven Bibile Gunanda Thero
VEN226,Ven Seruvila Samadhi Thero
VEN227,Ven Daaswathe Sumanaseela Thero
VEN228,Ven Kalawane Sangamagi Thero
VEN229,Ven Madawala saranapala Thero
VEN230,Ven Thamaraduwe Padama jothi Thero
VEN231,Ven Kathnoruwe Siridamma Thero
VEN232,Ven Walaswawe Somanananda Thero
VEN233,Ven KovilaKade Dammalankara Thero
VEN234,Ven Athurugiriye Anurudha Thero
VEN235,Ven Kolaeliye Sudassi Thero
VEN236,Ven Thapowanaye Rathana Thero
VEN237,Ven Munakulame Dammalankara Thero
VEN238,Ven Wadugedara Sarananda Thero
VEN239,Ven Dematagoda Anomadassri Thero
VEN240,Ven Kudagama Samitha Thero
VEN241,Ven Puudalugasyaye Damma dassi Thero
VEN242,Ven Rambawe Weeradamma Thero
VEN243,Ven Unawatune Wanshananda Thero
VEN244,Ven Mapegamuwe Deepananda Thero
VEN245,Ven Aththidiye shanthadewa Thero
VEN246,Ven Agulgamulwe Ariyananda Thero
VEN247,Ven Bopitiye Sri Sudassi Thero
VEN248,Ven Gallale Pgayasara Thero
VEN249,Ven Mirisse Dammika Thero
VEN250,Ven Ragama Kalyana Varuna Thero
VEN251,Ven Matara Mahinda Thero
VEN252,Ven Palankulame Premasiri Thero
VEN253,Ven Eppawala Palitha Thero
VEN254,Ven Konnakubuk Wawe pnana Thero
VEN255,Ven Thalawe Sumanarathana Thero
VEN256,Ven Hidulgama Siriwimala Thero
VEN257,Ven Pannala Dammisara Thero
VEN258,Ven BadalKumubure Thero
VEN259,Ven Talpe Deerananda Thero
VEN260,Ven Veherayaye Siri Suddamma Thero
VEN261,Ven Udhupitiye Wimala Vishudhi Thero
VEN262,Ven Galagedara Anurarathana Thero
VEN263,Ven Unavatune Wanshawansha Thero
VEN264,Ven Naapana Vijitha Thero
VEN265,Ven Iginimitiye Naradha Thero
VEN266,Ven Diyasenpura Wimala Thero
VEN267,Ven Moragoda Medhananda Thero
VEN268,Ven Kudaweligama Sumana Thero
